datetime,city,weather_main,weather_description,temp,feels_like,pressure,wind_speed
1771181132,Moscow,Clouds,overcast clouds,-12.76,-16.49,1015,1.58
1771181132,Moscow,Clouds,overcast clouds,-12.76,-16.49,1015,1.58
1771181132,Moscow,Clouds,overcast clouds,-12.76,-16.49,1015,1.58
1771181132,Moscow,Clouds,overcast clouds,-12.76,-16.49,1015,1.58
1771181422,Moscow,Clouds,overcast clouds,-12.76,-16.49,1015,1.58
1771181422,Moscow,Clouds,overcast clouds,-12.76,-16.49,1015,1.58
1771181422,Moscow,Clouds,overcast clouds,-12.76,-16.49,1015,1.58
